id,name,maker,variant,type,productType,strainType,thcPct,cbdPct,terpenes,genetics,countryOfOrigin,irradiationStatus,producerUseCases,producerNotes,sourceName,sourceUrl,sourceType,sourceCheckedAt,sourceLicense,sourceNotes,availabilityStatus,availabilityConfidence,availabilityCheckedAt,availabilitySourceName,availabilitySourceUrl,availabilityNotes,availabilitySignals
pure-sunfarms-alien-pebbles-flower,Alien Pebbles,Pure Sunfarms,,hybrid,flower,hybrid,24,,Myrcene:major|Ocimene:major|Limonene:major,Alien OG x Fruity Pebbles OG,Canada,,,"Alien Pebbles is an evenly balanced hybrid strain brought to you by hybrid parents Alien OG x Fruity Pebbles OG (aka FPOG). Its bold fruity aromas are thanks to its Fruity Pebbles parentage, with complex and well-rounded notes of sugary grapes, tangy citrus, fresh herbs and light notes of sweet wood. The inhale is fruity with some subtle skunky notes when burned. Its frosty, stone-shaped buds are wide and chunky with rich forest green colours and eye-catching undertones of gold and bright amber, covered in sticky trichomes.",Pure Sunfarms,https://puresunfarms.com/strains/alien-pebbles/,official producer strain page,2026-04-02T19:40:34.331Z,,Added from the official Pure Sunfarms public strain page.,,,,,,,
pure-sunfarms-big-white-flower,Big White,Pure Sunfarms,,indica,flower,indica,27,,Caryophyllene:major|Myrcene:major|Bisabolol:major,The White x Big Bud,Canada,,,"West Coast old school favourites come together to bring you Big White, a smooth riding indica with big snowy buds. A cross of The White x Big Bud, this powerful yet balanced cultivar produces naturally chunky, trichome-rich nugs and delivers a sweet nose of icing sugar and berries, with light floral and cakey notes from dominant terpenes caryophyllene, myrcene and bisabolol.",Pure Sunfarms,https://puresunfarms.com/strains/big-white/,official producer strain page,2026-04-02T19:40:34.331Z,,Added from the official Pure Sunfarms public strain page.,,,,,,,
pure-sunfarms-blue-dream-16-flower,Blue Dream #16,Pure Sunfarms,,sativa,flower,sativa,22,,Limonene:major|Beta-pinene:major|Ocimene:major,Blueberry x Haze,Canada,,,"Blue Dream #16 is a hand-picked pheno of Blue Dream selected for its complex fruit aromas, impressive bud structure and elevated potency. Our growers have been nurturing this West Coast-favourite sativa in our greenhouse for years, always on the hunt for new expressions of the strain—and this pheno delivers. Blue Dream #16 boasts frosty, long-stretching lime green buds and dreamy aromas of citrus, blueberry, spice and cake from dominant terpenes limonene, beta-pinene and ocimene.",Pure Sunfarms,https://puresunfarms.com/strains/blue-dream-16/,official producer strain page,2026-04-02T19:40:34.331Z,,Added from the official Pure Sunfarms public strain page.,,,,,,,
pure-sunfarms-gorilla-milk-flower,Gorilla Milk,Pure Sunfarms,,sativa,flower,sativa,24,,Caryophyllene:major|Guaiol:major|Beta-Pinene:major,Gorilla Cookies x Cereal Milk,Canada,,,"Sugar and spice and coveted cake lineage. Gorilla Milk is a cross of two fan-favourite parents: Gorilla Cookies x Cereal Milk. A creamy cake-forward cultivar bringing sweet notes of sugary cereal milk and vanilla cookies, with a deep finish of red berries and spicy pepper from dominant terpenes caryophyllene, guaiol and beta-pinene. The plant consistently delivers a steady potency, and produces long, dense buds with deep green colouration and a generous dusting of frosty trichomes.",Pure Sunfarms,https://puresunfarms.com/strains/gorilla-milk/,official producer strain page,2026-04-02T19:40:34.331Z,,Added from the official Pure Sunfarms public strain page.,,,,,,,
pure-sunfarms-kush-god-flower,Kush God,Pure Sunfarms,,indica,flower,indica,27,,Myrcene:major|Limonene:major|Humulene:major,Pink Kush x Pineapple God,Canada,,,"When two titan strains unite, a legend is born. This potent indica is a cross between our iconic Pink Kush x Pineapple God to bring you a fruitier take on a classic kush, with winning potency. This frosty pheno was hand-picked in our greenhouse for its loud aromas of juicy red grapes, fresh tropical fruit, and sweet berry desserts with a light touch of cream on the finish. It features bright green buds with splashes of purple and amber hairs, coated in creamy trichomes.",Pure Sunfarms,https://puresunfarms.com/strains/kush-god/,official producer strain page,2026-04-02T19:40:34.331Z,,Added from the official Pure Sunfarms public strain page.,,,,,,,
pure-sunfarms-neon-lambo-flower,Neon Lambo,Pure Sunfarms,,indica,flower,indica,27,,Caryophyllene:major|Myrcene:major|Linalool:major,Gas Face x Purple Kush,Canada,,,"This hand-picked pheno was selected for its high-octane aromas and high-THC potential. A cross of Gas Face x Purple Kush, Neon Lambo delivers a pungent gassy profile, balanced by a smooth and sweet creamy finish from dominant terpenes caryophyllene, myrcene and linalool. The plant produces massive, blingy nugs featuring flecks of deep purple.",Pure Sunfarms,https://puresunfarms.com/strains/neon-lambo/,official producer strain page,2026-04-02T19:40:34.331Z,,Added from the official Pure Sunfarms public strain page.,,,,,,,
pure-sunfarms-pennywise-flower,Pennywise,Pure Sunfarms,,indica,flower,indica,6,5,Myrcene:major|Terpinolene:major|Guaiol:major,Harlequin x Jack the Ripper,Canada,,,"Pennywise is a naturally CBD-rich strain, known for its balanced ratio of CBD to THC. This indica-dominant plant is the laidback lovechild of CBD-rich Harlequin and high-THC Jack the Ripper, bringing you the best of both cannabinoids with a calm yet upbeat profile. The flower delivers earthy, coffee-like aromas and a sweet inhale with notes of sour citrus from dominant terpenes myrcene, guaiol and terpinolene. The plant produces tightly-packed buds with striking olive-coloured leaves and burnt orange pistils under a cover of milky trichomes.",Pure Sunfarms,https://puresunfarms.com/strains/pennywise/,official producer strain page,2026-04-02T19:40:34.331Z,,Added from the official Pure Sunfarms public strain page.,,,,,,,
pure-sunfarms-pink-rhino-flower,Pink Rhino,Pure Sunfarms,,indica,flower,indica,25,,Linalool:major|Myrcene:major|Limonene:major,Pink Kush x White Rhino,Canada,,,"Pink Rhino is a cross of everyone’s favourite Pink Kush and old school legend White Rhino. Our growers have brought together two iconic parents to deliver a new candy-like kush that’s got it all: potency, dense sticky nugs, sweet aromas of sugary honey and classic kush notes of earth and gas from dominant terpenes linalool, myrcene, limonene. The plant produces cakey light green nugs that are naturally super tight and thickly coated in sugar from top to bottom.",Pure Sunfarms,https://puresunfarms.com/strains/pink-rhino/,official producer strain page,2026-04-02T19:40:34.331Z,,Added from the official Pure Sunfarms public strain page.,,,,,,,
pure-sunfarms-pure-sun-cbd-flower,Pure Sun CBD,Pure Sunfarms,,hybrid,flower,hybrid,0,12,Myrcene:major|Bisabolol:major|Guaiol:major,Reine Madre x NYC Diesel,Canada,,,"Our Pure Sun CBD is a hand-selected phenotype of Cannatonic, a strain known for its strong CBD potential and low levels of THC. With this CBD-rich flower, you can expect sweet and floral aromas of orange popsicles, fresh chamomile, nutty cardamom, and brown sugar.",Pure Sunfarms,https://puresunfarms.com/strains/pure-sun-cbd/,official producer strain page,2026-04-02T19:40:34.331Z,,Added from the official Pure Sunfarms public strain page.,,,,,,,
pure-sunfarms-purple-fog-flower,Purple Fog,Pure Sunfarms,,indica,flower,indica,24,,Limonene:major|Linalool:major|Caryophyllene:major,Purple Punch x Jungle Cake,Canada,,,"Purple Fog is a stunning purple indica descending from potent Purple Punch and Jungle Cake lineage. From a large family tree of head-turners, this purple takes the cake with its deep violet colours that run all the way to the stem, and striking lilac and lavender hues on the grind. It delivers relaxing aromas of smooth florals, woodsy pine and sweet, savoury herbs, with a healthy punch of gas and spice from dominant terpenes limonene, linalool, ​and beta-pinene. The plant produces dense, frosty deep purple colas with sharp emerald leaves outlined in dark purple. Its grape-shaped nugs are solid and compact, frosted in sticky golden trichomes.",Pure Sunfarms,https://puresunfarms.com/strains/purple-fog/,official producer strain page,2026-04-02T19:40:34.331Z,,Added from the official Pure Sunfarms public strain page.,,,,,,,
